language,year,month,pushes,pull_requests,issues,issue_comments,stars,forks,creates,contributors,active_repos
F*,2019,5,15,1,0,2,3,1,3,12,3
OpenEdge ABL,2019,5,15,6,1,4,0,0,3,9,5
VCL,2019,5,15,9,1,2,0,0,4,5,4
Scheme,2019,5,15,11,2,16,9,1,2,29,17
Prolog,2019,5,15,3,2,2,4,1,5,10,11
VimL,2019,5,15,4,3,12,29,5,0,49,31
MDX,2019,5,15,5,1,0,3,2,2,15,8
mcfunction,2019,5,14,6,0,3,0,1,2,5,4
XC,2019,5,14,0,0,0,0,0,0,5,1
SMT,2019,5,13,7,3,6,1,0,0,10,4
Bro,2019,5,13,10,0,0,0,0,1,2,2
mIRC Script,2019,5,13,7,3,10,0,0,5,5,2
LiveScript,2019,5,13,0,0,2,3,0,1,6,6
Nextflow,2019,5,13,5,2,9,2,3,5,17,13
Chapel,2019,5,13,8,6,20,0,0,1,10,3
Vim Script,2019,5,12,5,12,42,65,10,4,107,18
Liquid,2019,5,12,12,11,2,6,4,6,22,14
Visual Basic .NET,2019,5,12,8,3,12,2,4,3,20,10
FreeMarker,2019,5,11,10,0,2,6,4,0,14,4
DIGITAL Command Language,2019,5,11,20,1,0,4,5,10,12,4
Perl 6,2019,5,11,9,2,5,0,1,5,12,7
AutoIt,2019,5,11,1,3,2,2,0,0,6,4
Brightscript,2019,5,11,8,0,1,4,0,6,8,7
reStructuredText,2019,5,10,10,5,22,1,2,0,8,2
Xtend,2019,5,10,6,3,18,3,0,1,11,7
Ren'Py,2019,5,10,2,2,8,3,1,0,11,4
Arduino,2019,5,9,2,5,13,3,2,0,11,7
Fancy,2019,5,9,0,0,0,0,0,0,1,1
Web Ontology Language,2019,5,9,1,3,6,3,2,0,14,8
JetBrains MPS,2019,5,9,8,0,4,0,0,3,4,3
Gosu,2019,5,9,8,6,3,0,0,4,7,4
Brainfuck,2019,5,9,11,0,10,0,1,1,9,4
AGS Script,2019,5,9,7,2,10,0,0,1,11,5
M,2019,5,8,11,14,48,32,8,3,56,1
COBOL,2019,5,8,4,1,0,0,2,3,4,2
PureBasic,2019,5,8,5,3,5,13,8,3,32,8
Mustache,2019,5,7,11,1,6,5,7,10,27,15
Isabelle,2019,5,7,0,3,7,0,0,0,7,3
Stylus,2019,5,7,1,0,0,2,3,0,8,5
Nginx,2019,5,7,3,5,11,3,2,1,11,3
YARA,2019,5,7,7,1,2,10,2,0,15,7
Red,2019,5,7,4,8,11,4,1,0,8,1
Gnuplot,2019,5,7,2,0,2,0,0,0,5,3
Perl6,2019,5,6,0,0,0,0,0,0,2,2
UnrealScript,2019,5,6,0,4,7,2,0,0,11,4
Yacc,2019,5,6,5,0,2,0,0,1,3,1
Macaulay2,2019,5,5,0,0,1,0,0,0,4,3
sed,2019,5,5,3,4,3,0,0,2,1,1
M4,2019,5,5,3,3,10,1,2,1,8,5
Zig,2019,5,5,5,11,15,6,1,1,24,5
Awk,2019,5,5,3,4,9,5,0,1,12,5
Objective-C++,2019,5,5,8,1,15,29,6,2,46,17
Scilab,2019,5,5,4,0,0,0,0,1,3,3
Handlebars,2019,5,4,4,1,13,0,0,5,18,6
Propeller Spin,2019,5,4,2,0,2,0,0,2,4,3
WebIDL,2019,5,4,5,0,5,0,1,1,4,1
Raku,2019,5,4,2,5,21,1,0,0,9,4
ASP.NET,2019,5,4,0,0,0,0,0,2,2,1
API Blueprint,2019,5,4,6,0,1,0,2,3,8,6
Fennel,2019,5,4,1,0,2,0,0,1,2,1
Classic ASP,2019,5,4,0,17,3,10,25,0,40,3
Grammatical Framework,2019,5,4,3,1,3,0,0,0,4,2
Idris,2019,5,4,5,0,2,3,2,2,11,4
P4,2019,5,4,0,0,0,1,0,0,2,1
Sass,2019,5,4,0,0,0,3,0,0,7,6
Just,2019,5,3,0,0,0,0,0,0,1,2
SAS,2019,5,3,0,1,0,0,0,0,2,2
HLSL,2019,5,3,2,1,1,3,0,0,6,4
VBScript,2019,5,3,1,0,0,0,1,0,2,2
Cycript,2019,5,3,2,0,1,0,0,1,3,1
VBA,2019,5,3,2,3,4,0,0,1,8,5
LabVIEW,2019,5,3,1,1,0,0,0,0,2,2
ANTLR,2019,5,3,4,0,4,3,3,5,9,3
REXX,2019,5,3,0,0,0,2,0,2,3,1
HyPhy,2019,5,3,0,0,0,0,0,0,2,1
OpenSCAD,2019,5,3,0,1,9,6,0,0,9,7
Pony,2019,5,3,1,1,0,2,0,0,3,1
RAML,2019,5,3,0,3,8,0,0,0,9,6
Io,2019,5,2,0,0,0,0,0,0,1,1
Mako,2019,5,2,2,0,0,0,0,0,2,2
Stan,2019,5,2,2,0,2,0,0,1,3,2
Ring,2019,5,2,0,0,0,0,0,0,1,1
Protocol Buffer,2019,5,2,0,0,0,5,3,0,9,2
ReScript,2019,5,2,0,3,8,4,1,1,6,1
EJS,2019,5,2,0,0,2,10,7,1,18,8
Stata,2019,5,2,4,2,0,0,1,1,4,3
QMake,2019,5,2,2,0,0,0,0,1,1,1
Inform 7,2019,5,2,4,1,1,0,0,0,5,3
MAXScript,2019,5,2,0,0,0,0,0,1,2,2
Eiffel,2019,5,2,0,0,0,0,1,0,2,2
SuperCollider,2019,5,2,1,0,2,2,0,0,3,3
TLA,2019,5,2,0,0,0,1,0,0,2,1
PowerBuilder,2019,5,1,0,0,0,0,0,0,1,1
NSIS,2019,5,1,2,1,0,1,1,0,4,2
Objective-J,2019,5,1,0,0,0,0,0,1,1,1
Zeek,2019,5,1,3,0,0,0,1,2,3,2
ObjectScript,2019,5,1,0,0,0,0,0,0,1,1
V,2019,5,1,0,9,22,10,0,0,15,2
Smali,2019,5,1,2,1,9,6,1,0,13,4
Forth,2019,5,1,2,0,0,2,0,0,4,3
CartoCSS,2019,5,1,1,1,5,0,0,0,4,1
PAWN,2019,5,1,0,0,0,0,0,0,1,1
J,2019,5,1,0,0,0,0,0,0,1,1
MoonScript,2019,5,1,0,0,1,1,0,0,3,3
Bicep,2019,5,1,1,0,0,0,0,1,1,1
Lex,2019,5,1,0,0,0,0,1,0,2,2
Text,2019,5,1,0,0,0,0,0,0,1,1
Slim,2019,5,1,0,0,0,0,0,0,1,1
KiCad,2019,5,1,0,0,1,3,0,0,5,4
Astro,2019,5,1,0,0,0,0,0,0,1,1
Mask,2019,5,1,2,0,0,0,0,0,2,1
EmberScript,2019,5,1,2,0,3,0,0,1,3,1
YASnippet,2019,5,1,4,0,1,0,0,0,2,1
ApacheConf,2019,5,1,3,0,1,0,12,0,13,2
Ballerina,2019,5,1,4,0,0,0,0,2,2,1
NetLinx,2019,5,1,0,0,0,0,0,0,1,1
Eagle,2019,5,1,2,1,3,1,1,0,3,2
ECL,2019,5,1,4,1,3,0,0,0,2,1
Nasal,2019,5,1,0,0,0,0,0,0,1,1
Genshi,2019,5,0,1,0,0,0,0,0,1,1
IGOR Pro,2019,5,0,0,0,2,0,0,0,2,1
FreeBasic,2019,5,0,0,0,3,0,0,0,3,1
FORTRAN,2019,5,0,1,0,0,1,1,0,3,3
Augeas,2019,5,0,1,0,0,0,0,0,1,1
GCC Machine Description,2019,5,0,6,0,7,4,8,0,14,3
Pawn,2019,5,0,0,0,0,0,1,0,1,1
Max,2019,5,0,0,1,0,0,0,1,2,2
eC,2019,5,0,0,0,0,1,0,0,1,1
Odin,2019,5,0,0,4,2,1,0,0,3,1
Boogie,2019,5,0,0,0,3,0,0,0,3,1
Logos,2019,5,0,1,84,3,3,1,0,38,2
Procfile,2019,5,0,0,0,0,0,0,0,2,1
Nemerle,2019,5,0,0,0,1,0,0,0,1,1
Ceylon,2019,5,0,0,0,0,0,1,0,1,1
BlitzMax,2019,5,0,0,3,4,1,0,0,4,2
Csound Document,2019,5,0,0,0,0,1,0,0,1,1
Shen,2019,5,0,0,0,0,1,0,0,1,1
ASL,2019,5,0,0,0,0,3,2,0,4,2
Cython,2019,5,0,0,6,3,4,1,0,10,4
AppleScript,2019,5,0,0,0,1,0,0,0,1,1
Dhall,2019,5,0,0,0,6,2,0,0,5,1
RenderScript,2019,5,0,1,0,2,0,0,0,1,1
Bikeshed,2019,5,0,0,0,5,5,1,0,8,2
AL,2019,5,0,0,20,13,0,0,0,14,1
Open Policy Agent,2019,5,0,0,2,3,2,0,0,3,1
Kaitai Struct,2019,5,0,0,0,0,1,0,0,1,1
XML,2019,5,0,1,0,0,0,0,0,1,1
ChucK,2019,5,0,0,1,0,0,0,0,1,1
BASIC,2019,5,0,0,0,0,1,0,0,1,1
AngelScript,2019,5,0,0,1,2,0,0,0,3,1
Haml,2019,5,0,0,0,2,0,0,0,2,2
JavaScript,2019,6,26560,13322,3109,7065,9775,3056,7431,19712,14346
HTML,2019,6,10315,4713,710,1403,943,751,1849,4395,3023
Java,2019,6,10311,4172,1422,3061,3284,1437,1878,7965,5006
TypeScript,2019,6,10107,4471,1316,3685,2823,501,3874,6845,5230
Python,2019,6,9924,5204,2164,5283,5826,1939,1982,11378,6576
C#,2019,6,6891,1987,865,1682,1286,467,843,3326,2010
C++,2019,6,4606,2754,1091,3385,2504,789,788,6095,3016
PHP,2019,6,3826,2115,753,1650,1471,468,960,3159,2541
CSS,2019,6,3738,1925,194,420,629,461,824,2282,1537
Ruby,2019,6,3570,3491,324,1538,584,771,1401,2278,2138
Go,2019,6,3564,2005,709,2757,3471,649,770,4950,2482
Shell,2019,6,2617,1237,352,1171,1277,476,601,2663,1527
C,2019,6,2611,1243,571,1938,1681,540,353,3676,1968
Vue,2019,6,2038,755,173,251,402,129,496,1186,921
Jupyter Notebook,2019,6,1297,539,88,240,942,498,143,1701,589
Rust,2019,6,1173,679,267,988,903,160,242,1480,865
Kotlin,2019,6,855,470,222,337,431,95,263,902,504
Swift,2019,6,819,419,121,250,781,121,244,1072,637
VHDL,2019,6,669,15,5,19,1,2,2,21,14
Scala,2019,6,596,406,99,376,172,49,122,504,399
PowerShell,2019,6,589,308,109,324,85,51,69,371,237
Lua,2019,6,574,207,138,261,130,73,53,482,276
Dart,2019,6,569,213,140,305,440,105,76,672,275
Haskell,2019,6,526,248,71,219,198,45,88,433,217
R,2019,6,375,124,101,182,105,59,35,341,280
Julia,2019,6,354,133,75,243,51,16,67,212,179
DM,2019,6,281,293,56,743,5,14,61,291,58
Makefile,2019,6,280,213,26,167,106,45,125,293,173
Elixir,2019,6,263,109,38,71,80,10,55,193,160
Groovy,2019,6,257,172,20,60,32,55,147,175,93
TeX,2019,6,229,128,35,72,167,73,28,361,173
Dockerfile,2019,6,214,138,29,64,74,30,97,229,161
Objective-C,2019,6,202,97,66,123,273,65,59,476,307
Perl,2019,6,192,158,65,127,47,21,35,180,142
SCSS,2019,6,187,28,16,22,38,23,13,123,89
Nix,2019,6,174,169,24,157,11,7,12,115,35
OCaml,2019,6,144,102,66,183,67,8,93,161,101
ShaderLab,2019,6,135,14,1,2,2,0,4,14,7
Groff,2019,6,131,2,0,2,0,1,1,5,3
Clojure,2019,6,128,64,28,61,101,11,30,165,105
Fortran,2019,6,122,25,10,27,8,1,16,53,32
Vim script,2019,6,118,77,24,60,170,14,6,228,125
HCL,2019,6,117,65,25,30,29,18,40,101,89
Assembly,2019,6,116,50,6,50,30,11,15,81,60
Emacs Lisp,2019,6,107,71,46,105,99,25,6,210,123
TSQL,2019,6,100,36,0,2,12,5,20,68,58
Pascal,2019,6,88,33,18,96,25,11,16,76,39
CMake,2019,6,87,37,16,40,17,10,11,70,41
Tcl,2019,6,77,73,0,21,2,2,0,26,14
LLVM,2019,6,76,8,1,1,5,1,2,22,9
Batchfile,2019,6,72,18,3,11,31,6,12,71,41
xBase,2019,6,66,1,1,2,2,2,0,6,2
MATLAB,2019,6,57,17,6,10,9,7,16,38,30
F#,2019,6,49,24,21,43,12,7,15,62,48
Visual Basic,2019,6,44,21,0,3,3,3,13,24,23
D,2019,6,42,30,14,104,24,7,14,64,35
Elm,2019,6,42,15,6,7,10,0,11,31,29
GDScript,2019,6,42,17,7,8,12,2,6,30,17
Verilog,2019,6,41,16,4,29,6,5,8,28,17
XSLT,2019,6,41,15,6,12,13,7,6,43,29
CoffeeScript,2019,6,39,27,13,21,65,13,19,105,67
Erlang,2019,6,38,17,8,25,34,3,14,60,47
Adblock Filter List,2019,6,37,3,5,9,0,0,2,14,7
XC,2019,6,35,0,0,0,0,0,0,5,1
SourcePawn,2019,6,34,8,6,7,5,0,4,14,10
Ren'Py,2019,6,34,14,6,13,2,0,7,19,6
Roff,2019,6,33,7,1,11,13,4,3,40,18
Prolog,2019,6,31,8,0,19,1,2,2,9,7
Max,2019,6,31,0,0,0,0,0,0,1,1
Svelte,2019,6,29,9,0,4,1,2,4,9,11
Apex,2019,6,29,3,0,3,0,7,5,12,8
PLSQL,2019,6,29,6,3,15,1,1,4,12,7
Vim Script,2019,6,27,27,17,67,43,6,17,84,14
Vala,2019,6,26,26,18,48,18,4,5,58,33
Racket,2019,6,25,13,8,7,1,2,2,17,12
Perl 6,2019,6,25,32,1,2,1,3,3,14,11
Solidity,2019,6,24,11,0,3,1,3,9,16,13
Smarty,2019,6,24,42,13,88,12,14,18,56,31
Nim,2019,6,24,19,18,15,19,8,8,34,26
Common Workflow Language,2019,6,24,0,0,2,1,0,0,4,3
Crystal,2019,6,24,18,14,27,28,12,8,53,25
SQF,2019,6,24,10,12,15,2,0,3,18,10
Smalltalk,2019,6,23,8,6,8,7,3,0,29,16
QML,2019,6,23,8,2,12,9,5,14,32,19
OpenSCAD,2019,6,23,11,0,3,29,1,2,35,7
Rich Text Format,2019,6,22,13,6,5,5,3,10,22,17
PLpgSQL,2019,6,22,13,2,1,26,11,9,47,22
BitBake,2019,6,22,14,7,3,4,3,4,16,15
Reason,2019,6,21,3,0,2,10,0,1,17,9
ASP,2019,6,20,11,0,0,6,0,0,10,5
M4,2019,6,19,10,2,2,2,2,2,12,7
JSON,2019,6,19,8,1,5,1,2,1,12,3
Agda,2019,6,19,16,3,10,3,0,3,10,6
Gherkin,2019,6,18,8,1,7,2,1,5,13,9
Mathematica,2019,6,18,6,5,5,3,0,2,11,9
Logos,2019,6,15,0,118,64,5,1,0,23,4
Pug,2019,6,15,3,0,2,2,0,0,9,7
Common Lisp,2019,6,15,13,2,30,23,5,13,47,43
Starlark,2019,6,14,4,2,0,9,5,5,22,14
UnrealScript,2019,6,13,2,13,17,0,0,2,10,5
Liquid,2019,6,13,4,0,0,2,2,6,11,10
AngelScript,2019,6,12,5,2,9,2,1,2,9,3
WebAssembly,2019,6,12,12,0,24,14,5,6,31,14
ANTLR,2019,6,11,6,2,3,4,2,0,8,5
Jinja,2019,6,11,1,8,15,38,6,2,58,17
MDX,2019,6,10,5,1,54,3,1,1,12,5
GAP,2019,6,10,7,1,29,0,0,6,9,8
Lean,2019,6,10,2,0,1,1,1,0,8,3
PureScript,2019,6,10,7,0,1,14,2,1,14,23
Fluent,2019,6,9,0,0,0,0,1,0,3,3
SaltStack,2019,6,9,6,0,1,0,0,2,6,7
Scheme,2019,6,9,4,1,6,10,3,0,19,12
SMT,2019,6,9,2,3,9,0,0,0,8,4
Red,2019,6,9,9,1,2,0,0,1,5,3
Processing,2019,6,9,6,2,0,3,2,0,8,7
Handlebars,2019,6,8,5,0,2,0,2,2,6,5
Blade,2019,6,8,0,0,1,1,2,0,5,3
Haxe,2019,6,8,5,5,17,11,3,0,31,14
Squirrel,2019,6,8,0,0,0,0,0,0,2,2
Xtend,2019,6,8,1,2,3,0,0,1,5,3
Raku,2019,6,8,2,5,11,0,1,1,12,4
Bro,2019,6,7,6,0,0,0,0,0,2,2
Puppet,2019,6,7,9,2,4,7,2,5,16,9
FreeMarker,2019,6,7,3,0,1,0,0,0,5,4
XQuery,2019,6,7,2,2,1,0,0,1,2,2
G-code,2019,6,7,2,0,0,1,1,0,3,3
EJS,2019,6,6,0,4,9,7,5,0,15,6
Coq,2019,6,6,1,0,2,4,1,0,12,9
q,2019,6,6,0,0,0,0,0,0,1,1
Objective-C++,2019,6,6,9,0,5,8,4,3,19,15
Hack,2019,6,6,3,0,0,0,0,7,2,2
M,2019,6,6,7,5,10,3,2,2,15,1
ColdFusion,2019,6,6,0,0,3,0,0,1,5,3
Stylus,2019,6,5,0,1,0,2,2,0,8,5
Pawn,2019,6,5,6,0,1,0,2,0,4,3
ZenScript,2019,6,5,0,4,5,0,0,0,11,6
REXX,2019,6,5,2,5,3,0,0,1,2,1
SystemVerilog,2019,6,5,3,0,5,2,0,0,9,8
Markdown,2019,6,5,10,0,8,38,11,2,61,14
Cuda,2019,6,5,5,5,25,2,1,1,19,10
Modelica,2019,6,5,3,2,4,0,0,0,8,3
NSIS,2019,6,4,0,0,0,1,0,0,3,2
Brainfuck,2019,6,4,0,0,0,1,0,0,3,3
Answer Set Programming,2019,6,4,2,0,0,0,0,1,2,1
MQL5,2019,6,4,1,0,0,0,0,0,1,1
Zeek,2019,6,4,0,0,0,0,0,0,1,1
Dhall,2019,6,4,7,5,12,3,0,2,7,4
LiveScript,2019,6,4,4,0,16,2,0,38,6,2
Nextflow,2019,6,4,1,0,1,0,0,1,4,3
Matlab,2019,6,4,4,0,4,2,2,2,10,10
Nunjucks,2019,6,4,1,1,0,6,2,1,12,5
Fancy,2019,6,4,0,0,0,0,0,0,1,1
mcfunction,2019,6,4,2,0,0,0,1,1,2,2
Astro,2019,6,4,0,1,0,0,0,0,3,3
Nasal,2019,6,4,0,0,0,0,0,0,1,1
Lasso,2019,6,4,1,0,0,0,0,0,2,1
Self,2019,6,4,0,0,0,0,0,0,1,1
Standard ML,2019,6,4,0,1,1,2,0,0,5,4
SQLPL,2019,6,4,3,0,1,3,3,0,8,5
AutoIt,2019,6,4,0,1,0,1,1,0,5,5
Less,2019,6,3,1,0,2,10,4,0,16,6
Smali,2019,6,3,6,1,5,6,3,0,17,6
Zig,2019,6,3,4,2,5,16,1,0,24,2
AMPL,2019,6,3,2,1,2,0,0,0,4,3
Haml,2019,6,3,0,2,3,1,0,0,1,1
Game Maker Language,2019,6,3,3,0,1,1,0,3,4,2
F*,2019,6,3,0,0,0,0,0,1,2,2
GLSL,2019,6,3,2,0,0,5,1,1,9,6
Pony,2019,6,3,0,0,0,0,0,1,1,1
Gnuplot,2019,6,3,0,1,0,0,0,0,3,3
VBA,2019,6,3,0,0,0,0,0,1,2,2
SWIG,2019,6,2,0,0,0,0,0,1,1,1
Gosu,2019,6,2,1,6,3,0,0,2,6,4
Ada,2019,6,2,0,0,0,1,0,0,2,2
Awk,2019,6,2,0,1,1,2,0,0,3,2
PowerBuilder,2019,6,2,0,2,2,0,0,0,1,1
XS,2019,6,2,0,0,0,0,0,0,1,1
COBOL,2019,6,2,2,0,0,2,2,0,5,2
Mercury,2019,6,2,4,1,2,1,1,0,6,3
wdl,2019,6,2,0,0,0,1,0,1,3,3
Objective-J,2019,6,2,2,1,1,0,0,0,4,3
1C Enterprise,2019,6,2,5,0,4,5,0,3,4,6
LSL,2019,6,2,2,0,0,0,0,1,1,1
LabVIEW,2019,6,2,1,0,0,0,0,0,1,1
J,2019,6,2,0,0,0,0,0,0,1,1
Faust,2019,6,1,0,0,0,0,0,0,1,1
Cap'n Proto,2019,6,1,1,0,3,2,0,0,5,1
PicoLisp,2019,6,1,1,0,1,0,0,1,1,2
API Blueprint,2019,6,1,0,0,0,0,0,0,1,1
MoonScript,2019,6,1,0,1,3,1,0,0,3,2
APL,2019,6,1,0,0,0,0,0,0,1,1
Perl6,2019,6,1,2,0,0,0,0,0,2,1
Meson,2019,6,1,0,0,0,0,0,0,1,1
VCL,2019,6,1,1,0,0,0,0,1,1,1
Futhark,2019,6,1,0,0,0,0,0,0,1,1
Chapel,2019,6,1,0,1,2,0,0,0,2,2
VimL,2019,6,1,1,0,3,33,3,0,37,21
HyPhy,2019,6,1,1,0,0,0,0,0,1,1
REALbasic,2019,6,1,0,0,0,0,0,0,1,1
Sass,2019,6,1,0,0,0,3,1,0,5,3
Inform 7,2019,6,1,2,0,0,0,0,0,2,1
Fennel,2019,6,1,0,0,0,1,0,0,2,1
NCL,2019,6,1,0,0,1,0,0,0,2,2
ActionScript,2019,6,1,0,0,5,3,1,0,6,6
BASIC,2019,6,1,0,0,0,0,0,0,1,1
Inno Setup,2019,6,1,0,0,2,2,1,0,6,4
Grammatical Framework,2019,6,1,0,0,0,0,0,0,1,1
PAWN,2019,6,0,0,0,0,1,0,0,1,1
AutoHotkey,2019,6,0,0,0,1,4,2,0,7,5
PostScript,2019,6,0,1,1,5,7,1,0,11,6
OpenEdge ABL,2019,6,0,1,0,0,0,0,0,1,1
Idris,2019,6,0,0,0,0,1,0,0,1,1
Csound Document,2019,6,0,0,0,1,0,0,0,1,1
DIGITAL Command Language,2019,6,0,0,0,0,1,1,0,1,1
Jsonnet,2019,6,0,0,0,9,4,3,0,12,6
IDL,2019,6,0,0,0,0,0,1,0,1,1
Protocol Buffer,2019,6,0,0,0,0,3,0,0,2,1
Macaulay2,2019,6,0,2,0,2,0,1,0,2,1
ZIL,2019,6,0,2,0,6,1,0,0,4,1
Visual Basic .NET,2019,6,0,0,0,4,2,0,1,7,4
POV-Ray SDL,2019,6,0,0,0,0,1,1,0,1,1
V,2019,6,0,0,6,10,2,1,0,9,1
GCC Machine Description,2019,6,0,4,0,1,2,7,0,8,2
NewLisp,2019,6,0,0,0,0,0,0,1,1,1
Mustache,2019,6,0,0,0,1,1,1,0,3,3
Classic ASP,2019,6,0,0,0,0,13,3,0,14,2
Arduino,2019,6,0,3,0,4,4,4,0,9,7
Nginx,2019,6,0,0,0,0,5,4,0,9,3
XML,2019,6,0,2,0,0,0,1,0,3,2
HLSL,2019,6,0,0,0,0,1,0,0,3,1
KiCad,2019,6,0,0,0,6,3,0,0,4,3
ABAP,2019,6,0,0,0,1,1,1,0,2,1
mIRC Script,2019,6,0,4,0,2,0,0,2,1,1
Nimrod,2019,6,0,0,0,0,1,0,0,1,1
RAML,2019,6,0,0,0,2,0,0,0,1,2
Cirru,2019,6,0,0,0,0,1,1,0,1,1
PureBasic,2019,6,0,0,0,4,7,1,0,10,2
Odin,2019,6,0,0,0,5,0,1,0,4,1
RobotFramework,2019,6,0,0,0,0,1,0,0,1,1
AGS Script,2019,6,0,1,1,0,0,0,0,2,2
Thrift,2019,6,0,4,0,4,0,0,0,1,1
nesC,2019,6,0,0,0,0,5,0,0,5,1
Stan,2019,6,0,0,1,0,0,0,0,1,1
CartoCSS,2019,6,0,1,1,11,0,0,0,6,2
Web Ontology Language,2019,6,0,0,4,1,0,0,0,1,1
Propeller Spin,2019,6,0,0,0,0,1,0,0,1,1
Terra,2019,6,0,0,1,0,0,0,0,1,1
FORTRAN,2019,6,0,0,1,0,1,0,0,2,2
Eagle,2019,6,0,0,5,3,2,1,0,7,6
AsciiDoc,2019,6,0,0,0,0,0,1,0,1,1
YARA,2019,6,0,0,0,0,4,2,0,5,3
Cython,2019,6,0,0,0,3,3,1,0,7,3
reStructuredText,2019,6,0,0,0,2,3,1,0,5,2
BlitzMax,2019,6,0,0,0,8,0,0,0,3,1
ApacheConf,2019,6,0,1,0,1,0,11,0,11,1
Twig,2019,6,0,0,0,0,5,0,0,5,5
sed,2019,6,0,0,1,0,0,0,0,1,1
NetLogo,2019,6,0,0,0,0,0,1,0,1,1
Open Policy Agent,2019,6,0,0,0,0,1,0,0,1,1
JavaScript,2019,7,54101,39972,6928,19040,14771,5749,22200,37188,26491
TypeScript,2019,7,21264,13977,3254,9831,4622,1105,10090,13897,9627
Python,2019,7,21112,12399,4630,12694,12966,3866,4542,25562,11400
Java,2019,7,18687,10284,2967,8535,6924,2875,4574,17117,8545
HTML,2019,7,17646,8418,1266,3348,1464,1524,3576,8237,5246
C#,2019,7,11035,4558,1791,4421,2070,751,1827,6226,3282
Ruby,2019,7,8228,7327,1165,2495,1077,2314,3190,4912,3892
C++,2019,7,8053,4721,2073,7011,4543,1270,1456,10969,4386
PHP,2019,7,7961,5095,1780,4442,2447,751,2437,6533,4566
Go,2019,7,7931,5778,2161,9378,7259,1226,2043,11500,4342
CSS,2019,7,6561,3881,429,1123,973,592,1865,3951,2646
Shell,2019,7,4520,2593,615,2699,2014,851,1048,4931,2463
C,2019,7,4195,2181,1038,4049,5370,1473,757,9331,2829
Vue,2019,7,3549,1812,339,529,759,249,1173,2419,1646
Rust,2019,7,2112,1593,517,1941,1512,207,659,2565,1246
Jupyter Notebook,2019,7,2010,1129,208,576,1603,917,254,3183,993
PowerShell,2019,7,1949,1200,426,1414,152,111,266,1033,506
Scala,2019,7,1547,952,218,1254,271,109,418,1161,692
Swift,2019,7,1521,877,315,644,1199,232,424,1942,949
Kotlin,2019,7,1492,926,315,660,739,152,499,1595,733
R,2019,7,990,403,281,445,162,90,135,732,535
VHDL,2019,7,804,33,5,27,5,6,8,40,24
Dart,2019,7,763,396,286,675,894,211,136,1446,415
Makefile,2019,7,661,623,62,458,118,100,523,491,358
Lua,2019,7,587,254,192,401,151,83,59,583,305
Objective-C,2019,7,551,308,142,368,490,137,175,1027,537
HCL,2019,7,535,367,59,180,59,56,176,333,242
Elixir,2019,7,527,367,103,184,168,36,179,408,291
Haskell,2019,7,515,208,144,384,208,22,101,465,241
SCSS,2019,7,508,122,50,63,47,33,61,274,193
Julia,2019,7,471,208,116,388,105,16,115,326,230
Dockerfile,2019,7,467,392,50,251,121,80,196,480,323
Groovy,2019,7,418,227,50,120,61,67,84,364,183
TeX,2019,7,392,177,62,158,557,185,46,891,205
Groff,2019,7,377,0,2,3,7,5,0,17,4
Perl,2019,7,374,250,64,239,85,27,80,367,237
TSQL,2019,7,341,138,21,43,38,18,68,205,128
OCaml,2019,7,306,183,158,225,100,16,62,288,144
DM,2019,7,298,207,110,349,1,10,32,235,58
LLVM,2019,7,263,15,2,15,9,6,3,44,8
Smarty,2019,7,257,236,40,236,31,47,73,263,92
Clojure,2019,7,223,109,54,187,150,21,50,318,169
CoffeeScript,2019,7,190,184,26,81,74,19,124,186,167
Nix,2019,7,161,263,20,203,16,6,18,163,46
Erlang,2019,7,139,52,19,83,50,8,30,135,65
Elm,2019,7,139,60,20,17,20,2,42,67,52
MATLAB,2019,7,126,76,16,34,10,3,30,82,67
Emacs Lisp,2019,7,122,62,70,219,144,31,15,285,171
Fortran,2019,7,114,57,31,125,12,7,12,138,85
Vim script,2019,7,112,102,35,93,222,37,29,297,166
Assembly,2019,7,108,37,15,65,62,12,12,132,51
F#,2019,7,103,41,32,73,42,12,26,123,53
SaltStack,2019,7,100,45,11,112,3,0,56,39,26
PLpgSQL,2019,7,95,53,5,14,16,3,22,73,48
XSLT,2019,7,89,46,24,46,15,4,30,90,66
Jinja,2019,7,88,69,13,49,48,27,28,129,45
CMake,2019,7,86,91,17,117,38,14,16,142,72
BitBake,2019,7,85,34,5,24,3,3,34,38,26
Visual Basic,2019,7,83,42,6,5,4,2,25,30,23
Gherkin,2019,7,80,56,10,70,5,2,22,70,33
Puppet,2019,7,79,37,7,9,1,4,11,31,25
Vala,2019,7,74,43,25,56,36,8,18,81,51
Solidity,2019,7,72,31,9,47,13,6,15,63,26
Reason,2019,7,70,9,8,6,15,3,4,30,9
Smalltalk,2019,7,68,45,28,27,2,4,8,44,24
Batchfile,2019,7,65,33,8,39,27,12,16,79,47
Adblock Filter List,2019,7,64,4,9,25,1,0,2,18,6
PLSQL,2019,7,63,29,6,11,3,1,10,32,21
Pascal,2019,7,62,16,23,38,36,8,8,101,53
Tcl,2019,7,62,75,3,29,5,1,2,43,23
Nim,2019,7,59,31,20,67,10,3,11,54,28
Common Workflow Language,2019,7,59,6,6,10,1,1,3,16,9
Rich Text Format,2019,7,57,15,7,29,11,1,11,55,33
Apex,2019,7,57,22,3,16,4,13,22,42,21
Haxe,2019,7,56,15,20,29,5,7,2,37,34
